idRuta,idViaje,accesoMinus
2210020309GL026,0056012024-04-08,1
7180180100GL026,0056212024-03-19,1
7180180100GL026,0056212024-03-28,1
7180180100GL026,0056212024-03-31,1
7180180100GL026,0056212024-10-31,1
7180180100GL026,0056212024-11-03,1
7180180100GL026,0056212024-12-05,1
8010071801GL026,0056312024-03-19,1
8010071801GL026,0056312024-04-01,1
8010071801GL026,0056312024-04-02,1
8010060000GL023,0060012024-03-19,1
6000080100GL023,0060112024-03-19,1
6000080100GL023,0060112024-03-30,1
6000080100GL023,0060112024-05-02,1
6000080100GL023,0060112024-07-26,1
6000080100GL023,0060112024-08-16,1
6000080100GL023,0060112024-11-02,1
8010060000GL023,0060212024-03-19,1
6000080100GL023,0060312024-03-19,1
6000080100GL023,0060512024-03-19,1
8010060000GL023,0060612024-03-19,1
8010060000GL023,0060812024-03-19,1
8010060000GL023,0060812024-03-27,1
8010060000GL023,0060812024-03-30,1
8010060000GL023,0060812024-08-30,1
8010060000GL023,0060812024-10-31,1
8010060000GL023,0060812024-11-02,1
8010060000GL023,0060812024-12-05,1
6000080100GL023,0060912024-03-19,1
8010060000GL023,0061012024-03-19,1
6000080100GL023,0061312024-03-19,1
6000080100GL023,0061312024-04-01,1
6000080100GL023,0061312024-04-02,1
6000080100GL023,0061312024-09-01,1
2230871801GL023,0062112024-03-19,1
2230871801GL023,0062112024-04-13,1
2230871801GL023,0062112024-04-16,1
2210071801GL023,0062122024-03-19,2
2210071801GL023,0062122024-04-13,2
2210071801GL023,0062122024-04-16,2
2230871801GL023,0062132024-03-19,2
2230871801GL023,0062132024-04-13,2
2230871801GL023,0062132024-04-16,2
1510071801GL023,0062142024-03-19,2
1510071801GL023,0062142024-04-13,2
1510071801GL023,0062142024-04-16,2
7180122308GL023,0062212024-03-19,2
7180122308GL023,0062212024-04-12,2
7180122308GL023,0062212024-04-15,2
7180122100GL023,0062222024-03-19,2
7180122100GL023,0062222024-04-12,2
7180122100GL023,0062222024-04-15,2
7180122308GL023,0062232024-03-19,1
7180122308GL023,0062232024-04-12,1
7180122308GL023,0062232024-04-15,1
7180115100GL023,0062242024-03-19,2
7180115100GL023,0062242024-04-12,2
7180115100GL023,0062242024-04-15,2
7180104040GL023,0062252024-03-19,2
7180104040GL023,0062252024-04-12,2
7180104040GL023,0062252024-04-15,2
1120815100GL023,0062262024-03-19,2
1120815100GL023,0062262024-04-12,2
1120815100GL023,0062262024-04-15,2
3141271801GL023,0062512024-03-19,1
3141271801GL023,0062512024-04-12,1
3141271801GL023,0062512024-04-14,1
3141271801GL023,0062512024-04-15,1
2210071801GL023,0062522024-03-19,2
2210071801GL023,0062522024-04-12,2
2210071801GL023,0062522024-04-14,2
2210071801GL023,0062522024-04-15,2
3141271801GL023,0062532024-03-19,2
3141271801GL023,0062532024-04-12,2
3141271801GL023,0062532024-04-14,2
3141271801GL023,0062532024-04-15,2
1510071801GL023,0062542024-03-19,2
1510071801GL023,0062542024-04-12,2
1510071801GL023,0062542024-04-14,2
1510071801GL023,0062542024-04-15,2
7180131412GL023,0062612024-03-19,2
7180131412GL023,0062612024-04-11,2
7180131412GL023,0062612024-04-13,2
7180131412GL023,0062612024-04-14,2
7180122100GL023,0062622024-03-19,2
7180122100GL023,0062622024-04-11,2
7180122100GL023,0062622024-04-13,2
7180122100GL023,0062622024-04-14,2
7180131412GL023,0062632024-03-19,1
7180131412GL023,0062632024-04-11,1
7180131412GL023,0062632024-04-13,1
7180131412GL023,0062632024-04-14,1
7180115100GL023,0062642024-03-19,2
7180115100GL023,0062642024-04-11,2
7180115100GL023,0062642024-04-13,2
7180115100GL023,0062642024-04-14,2
7180104040GL023,0062652024-03-19,2
7180104040GL023,0062652024-04-11,2
7180104040GL023,0062652024-04-13,2
7180104040GL023,0062652024-04-14,2
1120815100GL023,0062662024-03-19,2
1120815100GL023,0062662024-04-11,2
1120815100GL023,0062662024-04-13,2
1120815100GL023,0062662024-04-14,2
3010071801GL023,0063112024-03-19,1
0404078400GL023,0063132024-03-19,2
1120011208GL023,0063142024-03-19,2
7180130100GL023,0063212024-03-19,2
7180130100GL023,0063222024-03-19,1
7840030100GL023,0063232024-03-19,2
7840011200GL023,0063242024-03-19,2
5140571801GL026,0069412024-03-19,1
7180151405GL026,0069712024-03-19,1
6000081100GL023,0070112024-03-19,1
6000081100GL023,0070112024-04-22,1
6000081100GL023,0070112024-04-26,1
6000081100GL023,0070112024-04-29,1
6000081100GL023,0070112024-05-03,1
6000081110GL023,0070122024-03-19,2
6000081110GL023,0070122024-04-22,2
6000081110GL023,0070122024-04-26,2
6000081110GL023,0070122024-04-29,2
6000081110GL023,0070122024-05-03,2
8110060000GL023,0070212024-03-19,1
8110060000GL023,0070212024-04-23,1
8110060000GL023,0070212024-04-27,1
8110060000GL023,0070212024-04-30,1
8110060000GL023,0070212024-05-04,1
8111060000GL023,0070222024-03-19,2
8111060000GL023,0070222024-04-23,2
8111060000GL023,0070222024-04-27,2
8111060000GL023,0070222024-04-30,2
8111060000GL023,0070222024-05-04,2
6000081100GL023,0070512024-03-19,1
8110060000GL023,0070612024-03-19,1
8010060000GL023,0080012024-03-19,1
8010060000GL023,0080012024-09-02,1
6000080100GL023,0080112024-03-19,1
8010060000GL023,0080212024-03-19,1
8010060000GL023,0080212024-03-30,1
8010060000GL023,0080212024-05-02,1
8010060000GL023,0080212024-07-26,1
8010060000GL023,0080212024-08-16,1
8010060000GL023,0080212024-11-02,1
6000080100GL026,0080712024-03-19,1
6000080100GL026,0080712024-03-27,1
6000080100GL026,0080712024-03-30,1
8010060000GL026,0080812024-03-19,1
7180160911GL012,0107112024-03-19,1
7180160911GL012,0107112024-04-08,1
7180160911GL012,0107112024-05-02,1
7180160911GL012,0107112024-08-31,1
7180160911GL012,0107112024-09-12,1
7180160911GL012,0107112024-09-25,1
6500071801GL026,0107212024-03-19,1
6500071801GL026,0107212024-05-02,1
6500071801GL026,0107212024-09-01,1
0430703216GL012,0108112024-03-19,1
0430703216GL012,0108112024-04-08,1
0430703216GL012,0108112024-05-02,1
0430703216GL012,0108112024-09-12,1
0430703216GL012,0108112024-11-02,1
7180103216GL012,0108122024-03-19,1
7180103216GL012,0108122024-04-08,1
7180103216GL012,0108122024-05-02,1
7180103216GL012,0108122024-09-12,1
7180103216GL012,0108122024-11-02,1
6091171801GL012,0109212024-03-19,1
6091171801GL012,0109212024-04-08,1
0430760911GL012,0110112024-03-19,1
0430760911GL012,0110112024-04-08,1
7180160911GL012,0110122024-03-19,2
7180160911GL012,0110122024-04-08,2
0430703216GL012,0110142024-03-19,1
0430703216GL012,0110142024-03-25,1
0430703216GL012,0110142024-04-01,1
6091171801GL012,0111212024-03-19,1
6091171801GL012,0111212024-04-08,1
0321671801GL012,0111222024-03-23,1
0321671801GL012,0111222024-03-25,1
0321671801GL012,0111222024-04-01,1
7180103216GL026,0113112024-03-19,1
7180103216GL026,0113112024-03-28,1
7180103216GL026,0113112024-03-29,1
7180103216GL026,0113112024-04-01,1
7180103216GL026,0113112024-04-02,1
7180165000GL026,0113112024-05-01,1
7180165000GL026,0113112024-10-31,1
7180165000GL026,0113112024-11-02,1
7180165000GL026,0113112024-12-05,1
0321671801GL012,0115212024-03-19,1
0321671801GL012,0115212024-04-08,1
0321604307GL012,0115222024-03-19,1
0321604307GL012,0115222024-04-08,1
7180160911GL012,0116112024-03-19,1
7180160911GL012,0116112024-04-08,1
7180103216GL012,0116122024-03-22,1
7180103216GL012,0116122024-03-25,1
6091171801GL012,0116212024-03-19,1
6091171801GL012,0116212024-04-08,1
6091171801GL012,0116212024-05-02,1
6091171801GL012,0116212024-08-31,1
6091171801GL012,0116212024-09-12,1
6091171801GL012,0116212024-09-25,1
7180160911GL012,0118112024-03-19,1
7180160911GL012,0118112024-04-08,1
0321671801GL012,0118212024-03-19,1
0321671801GL012,0118212024-04-08,1
0321671801GL012,0118212024-06-24,1
0321671801GL012,0118212024-06-25,1
6091171801GL012,0119212024-03-19,1
6091171801GL012,0119212024-04-08,1
0321671801GL012,0119222024-03-27,1
7180165000GL026,0120112024-03-19,1
7180165000GL026,0120112024-05-01,1
7180165000GL026,0120112024-08-31,1
7180160911GL026,0130712024-03-19,1
6091171801GL026,0131412024-03-19,1
7180160911GL026,0137112024-03-19,1
7180160911GL026,0137112024-03-28,1
7180160911GL026,0137112024-03-30,1
0321671801GL026,0138212024-03-19,1
0321671801GL026,0138212024-04-01,1
0321671801GL026,0138212024-04-02,1
6500071801GL026,0138212024-05-01,1
6091171801GL026,0140212024-03-19,1
6091171801GL026,0140212024-04-01,1
6091171801GL026,0140212024-04-02,1
6091171801GL026,0140212024-04-08,1
0321671801GL026,0140222024-03-19,1
0321671801GL026,0140222024-03-28,1
0321671801GL026,0140222024-03-29,1
0321671801GL026,0140222024-04-08,1
6500071801GL026,0140222024-05-01,1
6500071801GL026,0140222024-10-31,1
6500071801GL026,0140222024-11-02,1
6500071801GL026,0140222024-12-05,1
5441360000AV006,0206312024-03-19,1
5441360000AV006,0206312024-03-30,1
5441360000AV006,0206312024-05-04,1
5441360000AV006,0206312024-05-16,1
5441360000AV006,0206312024-11-02,1
6000051003AV006,0207012024-03-19,1
6000051003AV006,0207012024-03-31,1
6000051003AV006,0207012024-04-08,1
6000051003AV006,0207012024-05-03,1
6000051003AV006,0207012024-05-16,1
5100360000AV006,0207112024-03-19,1
5100360000AV006,0207112024-04-08,1
6000054413AV006,0207212024-03-19,1
5441360000AV006,0207312024-03-19,1
6000051405GL023,0207412024-03-19,1
6000051405GL023,0207422024-03-19,2
6000037704GL023,0207432024-03-19,2
3770450500GL023,0207442024-03-19,2
5050051405GL023,0207452024-03-19,2
5140560000GL023,0207512024-03-19,2
5140560000GL023,0207522024-03-19,1
6000005000AV006,0207612024-03-19,1
0500060000AV006,0207712024-03-19,1
6000051003AV006,0208012024-03-19,1
6000051003AV006,0208012024-04-08,1
5100360000AV006,0208112024-03-19,1
5100360000AV006,0208112024-03-31,1
5100360000AV006,0208112024-04-08,1
5100360000AV006,0208112024-05-03,1
5100360000AV006,0208112024-05-16,1
5100360000AV006,0208112024-09-08,1
6000054413AV006,0208212024-03-19,1
6000054413AV006,0208212024-03-30,1
6000054413AV006,0208212024-04-08,1
6000054413AV006,0208212024-05-04,1
6000054413AV006,0208212024-05-16,1
6000054413AV006,0208212024-11-03,1
6000054413AV006,0208212024-11-10,1
5441360000AV006,0208312024-03-19,1
5441360000AV006,0208312024-03-30,1
5441360000AV006,0208312024-05-03,1
5441360000AV006,0208312024-05-16,1
5441360000AV006,0208312024-11-03,1
5441360000AV006,0208312024-11-10,1
6000051003AV006,0209012024-03-19,1
6000051003AV006,0209012024-03-31,1
6000051003AV006,0209012024-04-08,1
6000051003AV006,0209012024-05-03,1
6000051003AV006,0209012024-05-16,1
5100360000AV006,0209112024-03-19,1
5100360000AV006,0209112024-03-31,1
5100360000AV006,0209112024-04-08,1
6000054413AV006,0209212024-03-21,1
6000054413AV006,0209212024-03-22,1
6000054413AV006,0209212024-03-24,1
6000054413AV006,0209212024-03-25,1
6000054413AV006,0209212024-03-26,1
6000054413AV006,0209212024-03-27,1
6000054413AV006,0209212024-03-28,1
6000054413AV006,0209212024-03-29,1
6000054413AV006,0209212024-03-30,1
6000054413AV006,0209212024-04-08,1
6000054413AV006,0209212024-04-09,1
6000054413AV006,0209212024-06-01,1
6000054413AV006,0209222024-03-21,2
6000054413AV006,0209222024-03-22,2
6000054413AV006,0209222024-04-08,2
6000054413AV006,0209222024-06-01,2
5441360000AV006,0209312024-03-19,1
6000051003AV006,0210012024-03-19,1
6000051003AV006,0210012024-03-31,1
6000051003AV006,0210012024-04-04,1
6000051003AV006,0210012024-04-05,1
6000051003AV006,0210012024-04-08,1
6000051003AV006,0210012024-07-28,1
6000051003AV006,0210012024-09-08,1
5100360000AV006,0210112024-03-19,1
5100360000AV006,0210112024-03-30,1
5100360000AV006,0210112024-04-08,1
5100360000AV006,0210112024-05-03,1
5100360000AV006,0210112024-07-28,1
5100360000AV006,0210112024-09-09,1
6000054413AV006,0210212024-03-19,1
6000054413AV006,0210212024-03-30,1
6000054413AV006,0210212024-04-08,1
5441360000LC112,0210912024-03-19,1
6000051003AV006,0211012024-03-19,1
6000051003AV006,0211012024-03-30,1
6000051003AV006,0211012024-04-08,1
6000051003AV006,0211012024-05-03,1
6000051003AV006,0211012024-10-01,1
5100360000AV006,0211112024-03-19,1
5100360000AV006,0211112024-04-01,1
5100360000AV006,0211112024-04-08,1
5100360000AV006,0211112024-04-29,1
6000054413AV006,0211212024-03-19,1
6000054413AV006,0211212024-04-08,1
6000054413AV006,0211212024-05-16,1
6000054413AV006,0211212024-06-01,1
6000054413AV006,0212212024-03-19,1
6000054413AV006,0212212024-05-03,1
5441360000AV006,0212312024-03-19,1
6000051003AV006,0213012024-03-19,1
6000051003AV006,0213012024-03-31,1
6000051003AV006,0213012024-04-01,1
6000051003AV006,0213012024-04-08,1
6000051003AV006,0213012024-05-04,1
5100360000AV006,0213112024-03-19,1
5100360000AV006,0213112024-03-31,1
5100360000AV006,0213112024-04-04,1
5100360000AV006,0213112024-04-08,1
5100360000AV006,0213112024-05-04,1
5100360000AV006,0213112024-07-26,1
5100360000AV006,0213112024-09-09,1
6000051405GL023,0213412024-03-19,1
6000051405GL023,0213422024-03-19,2
5140560000GL023,0213512024-03-19,1
5140560000GL023,0213522024-03-19,2
6000051003AV006,0214012024-03-19,1
6000051003AV006,0214012024-04-08,1
5100360000AV006,0214112024-03-19,1
5100360000AV006,0214112024-04-08,1
5100360000AV006,0214112024-09-09,1
6000054413AV006,0214212024-03-19,1
5441360000AV006,0214312024-03-21,1
5441360000AV006,0214312024-03-22,1
5441360000AV006,0214312024-04-08,1
5441360000AV006,0214312024-06-01,1
5441360000AV006,0214322024-03-30,2
6000005000AV006,0214612024-03-19,1
6000051003AV006,0215012024-03-19,1
6000051003AV006,0215012024-03-30,1
6000051003AV006,0215012024-04-08,1
6000051003AV006,0215012024-05-03,1
6000051003AV006,0215012024-09-09,1
5100360000AV006,0215112024-03-19,1
5100360000AV006,0215112024-03-30,1
5100360000AV006,0215112024-04-08,1
5100360000AV006,0215112024-05-03,1
6000054413AV006,0215212024-03-19,1
6000054413AV006,0215212024-03-31,1
6000054413AV006,0215212024-05-04,1
5441360000AV006,0215312024-03-19,1
5441360000AV006,0215312024-03-30,1
5441360000AV006,0215312024-04-08,1
5441360000AV006,0215312024-05-04,1
5441360000AV006,0215312024-06-01,1
6000051003AV006,0216012024-03-19,1
6000051003AV006,0216012024-04-08,1
5100360000AV006,0216112024-03-19,1
5100360000AV006,0216112024-04-08,1
5100360000AV006,0216112024-10-01,1
6000054413AV006,0216212024-03-19,1
5441360000AV006,0216312024-03-19,1
6000051405GL023,0216412024-03-19,1
0500060000AV006,0216712024-03-19,1
6000051003AV006,0217012024-03-19,1
6000051003AV006,0217012024-03-30,1
6000051003AV006,0217012024-04-08,1
5100360000AV006,0217112024-03-19,1
5100360000AV006,0217112024-04-08,1
5441360000AV006,0217312024-03-19,1
5441360000AV006,0217312024-03-31,1
5441360000AV006,0217312024-11-03,1
5140560000GL023,0217512024-03-19,2
5140560000GL023,0217522024-03-19,1
3770460000GL023,0217532024-03-19,2
5050037704GL023,0217542024-03-19,2
5140550500GL023,0217552024-03-19,2
5140560000GL023,0217562024-03-19,1
6000054413LC112,0217812024-03-19,1
6000051003AV006,0218012024-03-19,1
6000051003AV006,0218012024-04-08,1
5100360000AV006,0218112024-03-19,1
5100360000AV006,0218112024-04-08,1
5100360000AV006,0218112024-05-03,1
6000054413AV006,0218212024-03-19,1
6000054413AV006,0218212024-03-31,1
6000054413AV006,0218212024-11-03,1
5441360000AV006,0218312024-03-19,1
6000051003AV006,0219012024-03-19,1
6000051003AV006,0219012024-04-08,1
6000051003AV006,0219012024-09-09,1
5100360000AV006,0219112024-03-19,1
5100360000AV006,0219112024-03-31,1
5100360000AV006,0219112024-04-08,1
6000054413AV006,0219212024-03-19,1
5441360000AV006,0219312024-03-19,1
6000005000AV006,0219612024-03-19,1
0500060000AV006,0219712024-03-19,1
6000054413AV006,0220212024-03-19,1
5441360000AV006,0220312024-03-19,1
4301960000GL023,0220512024-03-19,1
4301960000GL023,0220512024-03-29,1
4301960000GL023,0220512024-03-30,1
4301960000GL023,0220522024-03-19,1
4301960000GL023,0220522024-03-29,1
4301960000GL023,0220522024-03-30,1
5100360000AV006,0221112024-03-19,1
5100360000AV006,0221112024-03-30,1
5100360000AV006,0221112024-04-08,1
6000054413AV006,0221212024-03-19,1
6000054413AV006,0221212024-03-31,1
6000054413AV006,0221212024-05-05,1
6000054413AV006,0221212024-07-22,1
6000054413AV006,0221212024-09-09,1
6000054413AV006,0221212024-10-31,1
6000054413AV006,0221212024-11-02,1
5441360000AV006,0221312024-03-19,1
5441360000AV006,0221312024-07-22,1
5441360000AV006,0221312024-09-09,1
6000051003LC112,0221612024-03-19,1
5100360000AV006,0226112024-03-19,1
5100360000AV006,0226112024-03-30,1
5100360000AV006,0226112024-04-08,1
5100360000AV006,0226112024-05-04,1
5100360000AV006,0226112024-05-16,1
4301960000GL023,0228512024-03-19,1
4301960000GL023,0228512024-03-30,1
4301960000GL023,0228512024-05-03,1
4301960000GL023,0228522024-03-19,1
4301960000GL023,0228522024-03-30,1
4301960000GL023,0228522024-05-03,1
6000051003AV006,0231012024-03-19,1
6000051003AV006,0231012024-04-08,1
6000051003AV006,0236012024-03-19,1
6000051003AV006,0236012024-03-30,1
6000051003AV006,0236012024-04-08,1
6000051003AV006,0236012024-05-03,1
6000051003AV006,0236012024-05-16,1
6000051003AV006,0236012024-09-07,1
5100360000AV006,0236112024-03-19,1
5100360000AV006,0236112024-03-31,1
5100360000AV006,0236112024-04-01,1
5100360000AV006,0236112024-04-08,1
5100360000AV006,0236112024-05-03,1
5100360000AV006,0236112024-05-16,1
5100360000AV006,0236112024-09-07,1
4301960000GL023,0236512024-03-19,1
4301960000GL023,0236512024-05-02,1
4301960000GL023,0236512024-05-03,1
4301960000GL023,0236522024-03-19,1
4301960000GL023,0236522024-05-02,1
4301960000GL023,0236522024-05-03,1
4301960000GL026,0237512024-03-19,1
4301960000GL026,0237512024-03-28,1
4301960000GL026,0237512024-03-30,1
4301960000GL026,0237522024-03-19,1
4301960000GL026,0237522024-03-28,1
4301960000GL026,0237522024-03-30,1
4301950500GL026,0237532024-03-19,1
4301950500GL026,0237532024-03-28,1
4301950500GL026,0237532024-03-30,1
5050037704GL026,0237542024-03-19,1
5050037704GL026,0237542024-03-28,1
5050037704GL026,0237542024-03-30,1
3770460000GL026,0237552024-03-19,1
3770460000GL026,0237552024-03-28,1
3770460000GL026,0237552024-03-30,1
6000051003AV006,0238012024-03-19,1
6000051003AV006,0238012024-03-30,1
6000051003AV006,0238012024-04-08,1
6000051003AV006,0238012024-05-04,1
6000051003AV006,0238012024-09-09,1
6000043019GL023,0238412024-03-19,1
6000043019GL023,0238412024-03-30,1
6000043019GL023,0238412024-05-02,1
6000043019GL023,0238422024-03-19,1
6000043019GL023,0238422024-03-30,1
6000043019GL023,0238422024-05-02,1
6000051003AV006,0239012024-03-19,1
6000051003AV006,0239012024-04-08,1
6000051003AV006,0239012024-05-03,1
6000051003AV006,0239012024-07-26,1
6000051003AV006,0239012024-09-09,1
6000043019GL023,0239412024-03-19,1
6000043019GL023,0239412024-03-29,1
6000043019GL023,0239412024-03-30,1
6000043019GL023,0239412024-05-01,1
6000043019GL023,0239412024-05-02,1
6000043019GL023,0239422024-03-19,1
6000043019GL023,0239422024-03-29,1
6000043019GL023,0239422024-03-30,1
6000043019GL023,0239422024-05-01,1
6000043019GL023,0239422024-05-02,1
5100360000LC112,0246912024-03-19,1
6000043019GL026,0249412024-03-19,1
6000043019GL026,0249412024-03-28,1
6000043019GL026,0249412024-03-30,1
6000043019GL026,0249422024-03-19,1
6000043019GL026,0249422024-03-28,1
6000043019GL026,0249422024-03-30,1
5100374200AV006,0286112024-04-08,1
0404074200AV006,0286122024-04-08,2
5100370600AV006,0286132024-04-08,2
5100360000AV006,0286142024-04-08,2
7180160000AV006,0305212024-04-08,1
7180160000AV006,0305212024-05-03,1
7180160000AV006,0305212024-05-16,1
7180160000AV006,0305212024-07-26,1
7180160000AV006,0305212024-08-16,1
7180160000AV006,0306212024-03-19,1
7840004040AV006,0306222024-03-19,2
7060060000AV006,0306232024-03-19,1
7180104040AV006,0306242024-03-19,1
6000071801AV006,0306312024-03-19,1
6000070600AV006,0306322024-03-19,1
0404071801AV006,0306332024-03-19,1
6000071801AV006,0307112024-03-19,1
6000071801AV006,0307112024-04-02,1
6000071801AV006,0307112024-05-04,1
6000071801AV006,0307112024-05-16,1
6000071801AV006,0307112024-05-21,1
6000071801AV006,0307112024-08-31,1
6000071801AV006,0307112024-09-12,1
6000071801AV006,0307112024-09-25,1
6000071801AV006,0307112024-11-02,1
6000004307AV006,0307312024-03-19,1
6000071801AV006,0307322024-03-19,1
6000071801AV006,0307332024-03-19,1
7180160000AV006,0308012024-03-19,1
7180160000AV006,0308012024-05-05,1
7180160000AV006,0308012024-05-16,1
7180160000AV006,0308012024-09-01,1
7180160000AV006,0308012024-11-02,1
6000071801AV006,0308112024-03-19,1
6000071801AV006,0308112024-04-02,1
6000071801AV006,0308112024-05-04,1
6000071801AV006,0308112024-05-16,1
6000071801AV006,0308112024-05-21,1
6000071801AV006,0308112024-08-24,1
6000071801AV006,0308112024-08-31,1
6000071801AV006,0308112024-09-07,1
6000071801AV006,0308112024-09-12,1
6000071801AV006,0308112024-09-25,1
6000071801AV006,0308112024-11-02,1
7180160000AV006,0308212024-03-19,1
7180160000AV006,0308212024-04-08,1
6000071801AV006,0308312024-03-19,1
6000071801AV006,0309112024-03-19,1
6000071801AV006,0309112024-05-01,1
6000071801AV006,0309112024-05-05,1
6000071801AV006,0309112024-11-02,1
0430760000AV006,0309212024-03-20,1
7180160000AV006,0309222024-03-20,1
7180160000AV006,0309232024-03-20,1
6000004307AV006,0309312024-03-19,1
6000071801AV006,0309322024-03-19,2
7180160000AV006,0311212024-03-20,1
6000071801AV006,0311312024-03-19,1
6000070600AV006,0311322024-03-19,2
0404071801AV006,0311332024-03-19,2
6000078400AV006,0311342024-03-19,2
0404078400AV006,0311352024-03-19,2
7180160000AV006,0312212024-03-19,1
7840060000AV006,0312222024-03-19,2
6000004307AV006,0312312024-03-19,2
6000071801AV006,0312322024-03-19,1
6000071801AV006,0312332024-03-19,1
6000078400AV006,0312342024-03-19,2
7180160000AV006,0313012024-03-19,1
7180160000AV006,0313012024-05-01,1
7180160000AV006,0313012024-09-25,1
7180160000AV006,0313012024-11-02,1
6000071801AV006,0313112024-03-19,1
6000071801AV006,0313112024-05-01,1
6000071801AV006,0313112024-09-02,1
6000071801AV006,0313112024-09-12,1
7180160000AV006,0314012024-03-19,1
7180160000AV006,0314012024-03-30,1
6000071801AV006,0314112024-03-19,1
6000071801AV006,0314112024-03-30,1
7180160000AV006,0314212024-03-19,1
7060060000AV006,0314222024-03-19,1
7840004040AV006,0314232024-03-19,1
6000004307AV006,0314312024-03-19,1
6000004307AV006,0314312024-04-08,1
6000071801AV006,0314322024-03-19,1
6000071801AV006,0314322024-04-08,1
6000070600AV006,0314332024-03-19,2
6000070600AV006,0314332024-04-08,2
0404071801AV006,0314342024-03-19,2
0404071801AV006,0314342024-04-08,2
7180160000AV006,0315012024-03-19,1
7180160000AV006,0315012024-04-02,1
7180160000AV006,0315012024-05-04,1
7180160000AV006,0315012024-08-31,1
7180160000AV006,0315012024-11-02,1
6000071801AV006,0315112024-03-19,1
6000071801AV006,0315112024-03-31,1
6000071801AV006,0315112024-05-04,1
6000071801AV006,0315112024-05-16,1
6000071801AV006,0315112024-08-31,1
6000071801AV006,0315112024-11-02,1
6000071801AV006,0315312024-03-19,1
6000070600AV006,0315322024-03-19,2
0404071801AV006,0315332024-03-19,2
7180160000AV006,0316012024-03-19,1
7180160000AV006,0316012024-03-30,1
7180160000AV006,0316012024-05-01,1
7180160000AV006,0316012024-05-04,1
7180160000AV006,0316012024-05-16,1
7180160000AV006,0316012024-09-30,1
7180160000AV006,0316012024-11-02,1
6000071801AV006,0316112024-03-19,1
6000071801AV006,0316112024-05-01,1
6000071801AV006,0316112024-05-16,1
